anzsic_division,anzsic_code,anzsic_class_title,anzsic_division_title,is_essential
A,A0111,Nursery Production (Under Cover),"Agriculture, Forestry and Fishing",TRUE
A,A0112,Nursery Production (Outdoors),"Agriculture, Forestry and Fishing",TRUE
A,A0113,Turf Growing,"Agriculture, Forestry and Fishing",TRUE
A,A0114,Floriculture Production (Under Cover),"Agriculture, Forestry and Fishing",TRUE
A,A0115,Floriculture Production (Outdoors),"Agriculture, Forestry and Fishing",TRUE
A,A0121,Mushroom Growing,"Agriculture, Forestry and Fishing",TRUE
A,A0122,Vegetable Growing (Under Cover),"Agriculture, Forestry and Fishing",TRUE
A,A0123,Vegetable Growing (Outdoors),"Agriculture, Forestry and Fishing",TRUE
A,A0131,Grape Growing,"Agriculture, Forestry and Fishing",TRUE
A,A0132,Kiwifruit Growing,"Agriculture, Forestry and Fishing",TRUE
A,A0133,Berry Fruit Growing,"Agriculture, Forestry and Fishing",TRUE
A,A0134,Apple and Pear Growing,"Agriculture, Forestry and Fishing",TRUE
A,A0135,Stone Fruit Growing,"Agriculture, Forestry and Fishing",TRUE
A,A0136,Citrus Fruit Growing,"Agriculture, Forestry and Fishing",TRUE
A,A0137,Olive Growing,"Agriculture, Forestry and Fishing",TRUE
A,A0139,Other Fruit and Tree Nut Growing,"Agriculture, Forestry and Fishing",TRUE
A,A0141,Sheep Farming (Specialised),"Agriculture, Forestry and Fishing",TRUE
A,A0142,Beef Cattle Farming (Specialised),"Agriculture, Forestry and Fishing",TRUE
A,A0143,Beef Cattle Feedlots (Specialised),"Agriculture, Forestry and Fishing",TRUE
A,A0144,Sheep-Beef Cattle Farming,"Agriculture, Forestry and Fishing",TRUE
A,A0145,Grain-Sheep or Grain-Beef Cattle Farming,"Agriculture, Forestry and Fishing",TRUE
A,A0146,Rice Growing,"Agriculture, Forestry and Fishing",TRUE
A,A0149,Other Grain Growing,"Agriculture, Forestry and Fishing",TRUE
A,A0151,Sugar Cane Growing,"Agriculture, Forestry and Fishing",TRUE
A,A0152,Cotton Growing,"Agriculture, Forestry and Fishing",TRUE
A,A0159,Other Crop Growing n.e.c.,"Agriculture, Forestry and Fishing",TRUE
A,A0160,Dairy Cattle Farming,"Agriculture, Forestry and Fishing",TRUE
A,A0171,Poultry Farming (Meat),"Agriculture, Forestry and Fishing",TRUE
A,A0172,Poultry Farming (Eggs),"Agriculture, Forestry and Fishing",TRUE
A,A0180,Deer Farming,"Agriculture, Forestry and Fishing",TRUE
A,A0191,Horse Farming,"Agriculture, Forestry and Fishing",TRUE
A,A0192,Pig Farming,"Agriculture, Forestry and Fishing",TRUE
A,A0193,Beekeeping,"Agriculture, Forestry and Fishing",TRUE
A,A0199,Other Livestock Farming n.e.c.,"Agriculture, Forestry and Fishing",TRUE
A,A0201,Offshore Longline and Rack Aquaculture,"Agriculture, Forestry and Fishing",TRUE
A,A0202,Offshore Caged Aquaculture,"Agriculture, Forestry and Fishing",TRUE
A,A0203,Onshore Aquaculture,"Agriculture, Forestry and Fishing",TRUE
A,A0301,Forestry,"Agriculture, Forestry and Fishing",TRUE
A,A0302,Logging,"Agriculture, Forestry and Fishing",TRUE
A,A0411,Rock Lobster and Crab Potting,"Agriculture, Forestry and Fishing",TRUE
A,A0412,Prawn Fishing,"Agriculture, Forestry and Fishing",TRUE
A,A0413,Line Fishing,"Agriculture, Forestry and Fishing",TRUE
A,A0414,"Fish Trawling, Seining and Netting","Agriculture, Forestry and Fishing",TRUE
A,A0419,Other Fishing,"Agriculture, Forestry and Fishing",TRUE
A,A0420,Hunting and Trapping,"Agriculture, Forestry and Fishing",TRUE
A,A0510,Forestry Support Services,"Agriculture, Forestry and Fishing",TRUE
A,A0521,Cotton Ginning,"Agriculture, Forestry and Fishing",TRUE
A,A0522,Shearing Services,"Agriculture, Forestry and Fishing",TRUE
A,A0529,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing",TRUE
B,B0600,Coal Mining,Mining,FALSE
B,B0700,Oil and Gas Extraction,Mining,FALSE
B,B0801,Iron Ore Mining,Mining,FALSE
B,B0802,Bauxite Mining,Mining,FALSE
B,B0803,Copper Ore Mining,Mining,FALSE
B,B0804,Gold Ore Mining,Mining,FALSE
B,B0805,Mineral Sand Mining,Mining,FALSE
B,B0806,Nickel Ore Mining,Mining,FALSE
B,B0807,Silver-Lead-Zinc Ore Mining,Mining,FALSE
B,B0809,Other Metal Ore Mining,Mining,FALSE
B,B0911,Gravel and Sand Quarrying,Mining,FALSE
B,B0919,Other Construction Material Mining,Mining,FALSE
B,B0990,Other Non-Metallic Mineral Mining and Quarrying,Mining,FALSE
B,B1011,Petroleum Exploration,Mining,FALSE
B,B1012,Mineral Exploration,Mining,FALSE
B,B1090,Other Mining Support Services,Mining,FALSE
C,C1111,Meat Processing,Manufacturing,FALSE
C,C1112,Poultry Processing,Manufacturing,FALSE
C,C1113,Cured Meat and Smallgoods Manufacturing,Manufacturing,FALSE
C,C1120,Seafood Processing,Manufacturing,FALSE
C,C1131,Milk and Cream Processing,Manufacturing,FALSE
C,C1132,Ice Cream Manufacturing,Manufacturing,FALSE
C,C1133,Cheese and Other Dairy Product Manufacturing,Manufacturing,FALSE
C,C1140,Fruit and Vegetable Processing,Manufacturing,FALSE
C,C1150,Oil and Fat Manufacturing,Manufacturing,FALSE
C,C1161,Grain Mill Product Manufacturing,Manufacturing,FALSE
C,C1162,"Cereal, Pasta and Baking Mix Manufacturing",Manufacturing,FALSE
C,C1171,Bread Manufacturing (Factory based),Manufacturing,FALSE
C,C1172,Cake and Pastry Manufacturing (Factory based),Manufacturing,FALSE
C,C1173,Biscuit Manufacturing (Factory based),Manufacturing,FALSE
C,C1174,Bakery Product Manufacturing (Non-factory based),Manufacturing,FALSE
C,C1181,Sugar Manufacturing,Manufacturing,FALSE
C,C1182,Confectionery Manufacturing,Manufacturing,FALSE
C,C1191,"Potato, Corn and Other Crisp Manufacturing",Manufacturing,FALSE
C,C1192,Prepared Animal and Bird Feed Manufacturing,Manufacturing,FALSE
C,C1199,Other Food Product Manufacturing n.e.c.,Manufacturing,FALSE
C,C1211,"Soft Drink, Cordial and Syrup Manufacturing",Manufacturing,FALSE
C,C1212,Beer Manufacturing,Manufacturing,FALSE
C,C1213,Spirit Manufacturing,Manufacturing,FALSE
C,C1214,Wine and Other Alcoholic Beverage Manufacturing,Manufacturing,FALSE
C,C1220,Cigarette and Tobacco Product Manufacturing,Manufacturing,FALSE
C,C1311,Wool Scouring,Manufacturing,FALSE
C,C1312,Natural Textile Manufacturing,Manufacturing,FALSE
