major_code,major_group,submajor_code,submajor_group,minor_code,minor_group,unit_code,unit_group,occupation_code,occupation_group,skill_level,is_essential
1,MANAGERS,11,"Chief Executives, General Managers and Legislators",111,"Chief Executives, General Managers and Legislators",1111,Chief Executives and Managing Directors,111111,Chief Executive or Managing Director,1,FALSE
1,MANAGERS,11,"Chief Executives, General Managers and Legislators",111,"Chief Executives, General Managers and Legislators",1112,General Managers,111211,Corporate General Manager,1,FALSE
1,MANAGERS,11,"Chief Executives, General Managers and Legislators",111,"Chief Executives, General Managers and Legislators",1112,General Managers,111212,Defence Force Senior Officer,1,FALSE
1,MANAGERS,11,"Chief Executives, General Managers and Legislators",111,"Chief Executives, General Managers and Legislators",1113,Legislators,111311,Local Government Legislator,1,FALSE
1,MANAGERS,11,"Chief Executives, General Managers and Legislators",111,"Chief Executives, General Managers and Legislators",1113,Legislators,111312,Member of Parliament,1,FALSE
1,MANAGERS,11,"Chief Executives, General Managers and Legislators",111,"Chief Executives, General Managers and Legislators",1113,Legislators,111399,Legislators nec,1,FALSE
1,MANAGERS,12,Farmers and Farm Managers,121,Farmers and Farm Managers,1211,Aquaculture Farmers,121111,Aquaculture Farmer,1,TRUE
1,MANAGERS,12,Farmers and Farm Managers,121,Farmers and Farm Managers,1212,Crop Farmers,121211,Cotton Grower,1,TRUE
1,MANAGERS,12,Farmers and Farm Managers,121,Farmers and Farm Managers,1212,Crop Farmers,121212,Flower Grower,1,TRUE
1,MANAGERS,12,Farmers and Farm Managers,121,Farmers and Farm Managers,1212,Crop Farmers,121213,Fruit or Nut Grower,1,TRUE
1,MANAGERS,12,Farmers and Farm Managers,121,Farmers and Farm Managers,1212,Crop Farmers,121214,"Grain, Oilseed or Pasture Grower \ Field Crop Grower",1,TRUE
1,MANAGERS,12,Farmers and Farm Managers,121,Farmers and Farm Managers,1212,Crop Farmers,121215,Grape Grower,1,TRUE
1,MANAGERS,12,Farmers and Farm Managers,121,Farmers and Farm Managers,1212,Crop Farmers,121216,Mixed Crop Farmer,1,TRUE
1,MANAGERS,12,Farmers and Farm Managers,121,Farmers and Farm Managers,1212,Crop Farmers,121217,Sugar Cane Grower,1,TRUE
1,MANAGERS,12,Farmers and Farm Managers,121,Farmers and Farm Managers,1212,Crop Farmers,121218,Turf Grower,1,TRUE
1,MANAGERS,12,Farmers and Farm Managers,121,Farmers and Farm Managers,1212,Crop Farmers,121221,Vegetable Grower (Aus) \ Market Gardener (NZ),1,TRUE
1,MANAGERS,12,Farmers and Farm Managers,121,Farmers and Farm Managers,1212,Crop Farmers,121299,Crop Farmers nec,1,TRUE
1,MANAGERS,12,Farmers and Farm Managers,121,Farmers and Farm Managers,1213,Livestock Farmers,121311,Apiarist,1,TRUE
1,MANAGERS,12,Farmers and Farm Managers,121,Farmers and Farm Managers,1213,Livestock Farmers,121312,Beef Cattle Farmer,1,TRUE
1,MANAGERS,12,Farmers and Farm Managers,121,Farmers and Farm Managers,1213,Livestock Farmers,121313,Dairy Cattle Farmer,1,TRUE
1,MANAGERS,12,Farmers and Farm Managers,121,Farmers and Farm Managers,1213,Livestock Farmers,121314,Deer Farmer,1,TRUE
1,MANAGERS,12,Farmers and Farm Managers,121,Farmers and Farm Managers,1213,Livestock Farmers,121315,Goat Farmer,1,TRUE
1,MANAGERS,12,Farmers and Farm Managers,121,Farmers and Farm Managers,1213,Livestock Farmers,121316,Horse Breeder,1,TRUE
1,MANAGERS,12,Farmers and Farm Managers,121,Farmers and Farm Managers,1213,Livestock Farmers,121317,Mixed Livestock Farmer,1,TRUE
1,MANAGERS,12,Farmers and Farm Managers,121,Farmers and Farm Managers,1213,Livestock Farmers,121318,Pig Farmer,1,TRUE
1,MANAGERS,12,Farmers and Farm Managers,121,Farmers and Farm Managers,1213,Livestock Farmers,121321,Poultry Farmer,1,TRUE
1,MANAGERS,12,Farmers and Farm Managers,121,Farmers and Farm Managers,1213,Livestock Farmers,121322,Sheep Farmer,1,TRUE
1,MANAGERS,12,Farmers and Farm Managers,121,Farmers and Farm Managers,1213,Livestock Farmers,121399,Livestock Farmers nec,1,TRUE
1,MANAGERS,12,Farmers and Farm Managers,121,Farmers and Farm Managers,1214,Mixed Crop and Livestock Farmers,121411,Mixed Crop and Livestock Farmer,1,TRUE
1,MANAGERS,13,Specialist Managers,131,"Advertising, Public Relations and Sales Managers",1311,"Advertising, Public Relations and Sales Managers",131111,code retired (ANZSCO Revision 1),,FALSE
1,MANAGERS,13,Specialist Managers,131,"Advertising, Public Relations and Sales Managers",1311,"Advertising, Public Relations and Sales Managers",131112,Sales and Marketing Manager,1,FALSE
1,MANAGERS,13,Specialist Managers,131,"Advertising, Public Relations and Sales Managers",1311,"Advertising, Public Relations and Sales Managers",131113,Advertising Manager,1,FALSE
